,,,,
A BETTER VERSION ->>,https://neetcode.io/,,,
https://youtu.be/8f1XPm4WOUc,Graph,Number of Connected Components in an Undirected Graph (Leetcode Premium),https://leetcode.com/problems/number-of-connected-components-in-an-undirected-graph/,"dfs on each node that hasn’t been visited, increment component count, adjacency list; bfs and union find are possible;"
https://youtu.be/A8NUOmlwOlM,Interval,Insert Interval,https://leetcode.com/problems/insert-interval/,"insert new interval in order, then merge intervals; newinterval could only merge with one interval that comes before it, then add remaining intervals;"
https://youtu.be/44H3cEC2fFM,Interval,Merge Intervals,https://leetcode.com/problems/merge-intervals/,"sort each interval, overlapping intervals should be adjacent, iterate and build solution; also graph method, less efficient, more complicated"
https://youtu.be/nONCGxWoUfM,Interval,Non-overlapping Intervals,https://leetcode.com/problems/non-overlapping-intervals/,"instead of removing, count how max num of intervals you can include, sort intervals, dp to compute max intervals up until the i-th interval;"
https://youtu.be/PaJxqZVPhbg,Interval,Meeting Rooms (Leetcode Premium),https://leetcode.com/problems/meeting-rooms/,"sort intervals by start time, if second interval doesn’t overlap with first, then third def wont overlap with first;"
https://youtu.be/FdzJmTCVyJU,Interval,Meeting Rooms II (Leetcode Premium),https://leetcode.com/problems/meeting-rooms-ii/,"we care about the points in time where we are starting/ending a meeting, we already are given those, just separate start/end and traverse counting num of meetings going at these points in time; for each meeting check if a prev meeting has finished before curr started, using min heap;"
https://youtu.be/G0_I-ZF0S38,Linked List,Reverse a Linked List,https://leetcode.com/problems/reverse-linked-list/,"iterate through maintaining cur and prev; recursively reverse, return new head of list"
https://youtu.be/gBTe7lFR3vc,Linked List,Detect Cycle in a Linked List,https://leetcode.com/problems/linked-list-cycle/,"dict to remember visited nodes; two pointers at different speeds, if they meet there is loop"
https://youtu.be/XIdigk956u0,Linked List,Merge Two Sorted Lists,https://leetcode.com/problems/merge-two-sorted-lists/,insert each node from one list into the other
https://youtu.be/q5a5OiGbT6Q,Linked List,Merge K Sorted Lists,https://leetcode.com/problems/merge-k-sorted-lists/,"divied and conquer, merge lists, N totalnodes, k-lists, O(N*logk). For each list, find min val, insert it into list, use priorityQ to optimize finding min O(N*logk)"
https://youtu.be/XVuQxVej6y8,Linked List,Remove Nth Node From End Of List,https://leetcode.com/problems/remove-nth-node-from-end-of-list/,"use dummy node at head of list, compute len of list; two pointers, second has offset of n from first;"
https://youtu.be/S5bfdUTrKLM,Linked List,Reorder List,https://leetcode.com/problems/reorder-list/,"reverse second half of list, then easily reorder it; non-optimal way is to store list in array;"
https://youtu.be/T41rL0L3Pnw,Matrix,Set Matrix Zeroes,https://leetcode.com/problems/set-matrix-zeroes/,"use sets to keep track of all rows, cols to zero out, after, for each num if it is in a zero row or col then change it to 0; flag first cell in row, and col to mark row/col that needs to be zeroed;"
https://youtu.be/BJnMZNwUk1M,Matrix,Spiral Matrix,https://leetcode.com/problems/spiral-matrix/,"keep track of visited cells; keep track of boundaries, layer-by-layer;"
https://youtu.be/fMSJSS7eO1w,Matrix,Rotate Image,https://leetcode.com/problems/rotate-image/,"rotate layer-by-layer, use that it's a square as advantage, rotate positions in reverse order, store a in temp, a = b, b = c, c = d, d = temp;"
https://youtu.be/pfiQ_PS1g8E,Matrix,Word Search,https://leetcode.com/problems/word-search/,"dfs on each cell, for each search remember visited cells, and remove cur visited cell right before you return from dfs;"
https://youtu.be/wiGpQwVHdE0,String,Longest Substring Without Repeating Characters,https://leetcode.com/problems/longest-substring-without-repeating-characters/,"sliding window, if we see same char twice within curr window, shift start position;"
https://youtu.be/gqXU1UyA8pk,String,Longest Repeating Character Replacement,https://leetcode.com/problems/longest-repeating-character-replacement/,"PAY ATTENTION: limited to chars A-Z; for each capital char, check if it could create the longest repeating substr, use sliding window to optimize; check if windowlen=1 works, if yes, increment len, if not, shift window right;"
https://youtu.be/jSto0O4AJbM,String,Minimum Window Substring,https://leetcode.com/problems/minimum-window-substring/,"need is num of unique char in T, HAVE is num of char we have valid count for, sliding window, move right until valid, if valid, increment left until invalid, to check validity keep track if the count of each unique char is satisfied;"
https://youtu.be/9UtInBqnCgA,String,Valid Anagram,https://leetcode.com/problems/valid-anagram/,"hashmap to count each char in str1, decrement for str2;"
https://youtu.be/vzdNOK2oB2E,String,Group Anagrams,https://leetcode.com/problems/group-anagrams/,"for each of 26 chars, use count of each char in each word as tuple for key in dict, value is the list of anagrams;"
https://youtu.be/WTzjTskDFMg,String,Valid Parentheses,https://leetcode.com/problems/valid-parentheses/,"push opening brace on stack, pop if matching close brace, at end if stack empty, return true;"
https://youtu.be/jJXJ16kPFWg,String,Valid Palindrome,https://leetcode.com/problems/valid-palindrome/,"left, right pointers, update left and right until each points at alphanum, compare left and right, continue until left >= right, don’t distinguish between upper/lowercase;"
https://youtu.be/XYQecbcd6_c,String,Longest Palindromic Substring,https://leetcode.com/problems/longest-palindromic-substring/,"foreach char in str, consider it were the middle, consider if pali was odd or even;"
https://youtu.be/4RACzI5-du8,String,Palindromic Substrings,https://leetcode.com/problems/palindromic-substrings/,"same as longest palindromic string, each char in str as middle and expand outwards, do same for pali of even len; maybe read up on manachers alg"
https://youtu.be/B1k_sxOSgv8,String,Encode and Decode Strings (Leetcode Premium),https://leetcode.com/problems/encode-and-decode-strings/,store length of str before each string and delimiter like '#';
https://youtu.be/hTM3phVI6YQ,Tree,Maximum Depth of Binary Tree,https://leetcode.com/problems/maximum-depth-of-binary-tree/,recursive dfs to find max-depth of subtrees; iterative bfs to count number of levels in tree
https://youtu.be/vRbbcKXCxOw,Tree,Same Tree,https://leetcode.com/problems/same-tree/,recursive dfs on both trees at the same time; iterative bfs compare each level of both trees
https://youtu.be/OnSn2XEQ4MY,Tree,Invert/Flip Binary Tree,https://leetcode.com/problems/invert-binary-tree/,"recursive dfs to invert subtrees; bfs to invert levels, use collections.deque; iterative dfs is easy with stack if doing pre-order traversal"
https://youtu.be/Hr5cWUld4vU,Tree,Binary Tree Maximum Path Sum,https://leetcode.com/problems/binary-tree-maximum-path-sum/,"helper returns maxpathsum without splitting branches, inside helper we also update maxSum by computing maxpathsum WITH a split;"
https://youtu.be/6ZnyEApgFYg,Tree,Binary Tree Level Order Traversal,https://leetcode.com/problems/binary-tree-level-order-traversal/,"iterative bfs, add prev level which doesn't have any nulls to the result;"
https://youtu.be/u4JAi2JJhI8,Tree,Serialize and Deserialize Binary Tree,https://leetcode.com/problems/serialize-and-deserialize-binary-tree/,"bfs every single non-null node is added to string, and it's children are added too, even if they're null, deserialize by adding each non-null node to queue, deque node, it's children are next two nodes in string;"
https://youtu.be/E36O5SWp-LE,Tree,Subtree of Another Tree,https://leetcode.com/problems/subtree-of-another-tree/,traverse s to check if any subtree in s equals t; merkle hashing?
https://youtu.be/ihj4IQGZ2zc,Tree,Construct Binary Tree from Preorder and Inorder Traversal,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal/,"first element in pre-order is root, elements left of root in in-order are left subtree, right of root are right subtree, recursively build subtrees;"
https://youtu.be/s6ATEkipzow,Tree,Validate Binary Search Tree,https://leetcode.com/problems/validate-binary-search-tree/,"trick is use built in python min/max values float(""inf""), ""-inf"", as parameters; iterative in-order traversal, check each val is greater than prev;"
https://youtu.be/5LUXSvjmGCw,Tree,Kth Smallest Element in a BST,https://leetcode.com/problems/kth-smallest-element-in-a-bst/,"non-optimal store tree in sorted array; iterative dfs in-order and return the kth element processed, go left until null, pop, go right once;"
https://youtu.be/gs2LMfuOR9k,Tree,Lowest Common Ancestor of BST,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree/,"compare p, q values to curr node, base case: one is in left, other in right subtree, then curr is lca;"
https://youtu.be/oobqoCJlHA0,Tree,Implement Trie (Prefix Tree),https://leetcode.com/problems/implement-trie-prefix-tree/,"node has children characters, and bool if its an ending character, node DOESN’T have or need char, since root node doesn’t have a char, only children;"
https://youtu.be/BTf05gs_8iU,Tree,Add and Search Word,https://leetcode.com/problems/add-and-search-word-data-structure-design/,"if char = ""."" run search for remaining portion of word on all of curr nodes children;"
https://youtu.be/asbcE9mZz_U,Tree,Word Search II,https://leetcode.com/problems/word-search-ii/,"trick: I though use trie to store the grid, reverse thinking, instead store dictionary words, dfs on each cell, check if cell's char exists as child of root node in trie, if it does, update currNode, and check neighbors, a word could exist multiple times in grid, so don’t add duplicates;"
https://youtu.be/q5a5OiGbT6Q,Heap,Merge K Sorted Lists,https://leetcode.com/problems/merge-k-sorted-lists/,"we always want the min of the current frontier, we can store frontier in heap of size k for efficient pop/push; divide and conquer merging lists;"
https://youtu.be/YPTqKIgVk-k,Heap,Top K Frequent Elements,https://leetcode.com/problems/top-k-frequent-elements/,"minheap that’s kept at size k, if its bigger than k pop the min, by the end it should be left with k largest;"
https://youtu.be/itmhHWaHupI,Heap,Find Median from Data Stream,https://leetcode.com/problems/find-median-from-data-stream/,"maintain curr median, and all num greater than med in a minHeap, and all num less than med in a maxHeap, after every insertion update median depending on odd/even num of elements;"
